date_t,date_t_plus_h,horizon,spearman_rho
1969-02-28 23:59:59.999999999,1969-04-30 23:59:59.999999999,1,0.9446153846153846
1969-04-30 23:59:59.999999999,1969-05-31 23:59:59.999999999,1,0.9261538461538461
1969-05-31 23:59:59.999999999,1969-07-31 23:59:59.999999999,1,0.936923076923077
1969-07-31 23:59:59.999999999,1969-08-31 23:59:59.999999999,1,0.9261538461538461
1969-08-31 23:59:59.999999999,1969-10-31 23:59:59.999999999,1,0.8638461538461538
1969-10-31 23:59:59.999999999,1969-11-30 23:59:59.999999999,1,0.8807692307692306
1969-11-30 23:59:59.999999999,1970-01-31 23:59:59.999999999,1,0.913076923076923
1970-01-31 23:59:59.999999999,1970-02-28 23:59:59.999999999,1,0.93
1970-02-28 23:59:59.999999999,1970-04-30 23:59:59.999999999,1,0.9030769230769231
1970-04-30 23:59:59.999999999,1970-05-31 23:59:59.999999999,1,0.9469230769230769
1970-05-31 23:59:59.999999999,1970-07-31 23:59:59.999999999,1,0.9515384615384614
1970-07-31 23:59:59.999999999,1970-08-31 23:59:59.999999999,1,0.9346153846153846
1970-08-31 23:59:59.999999999,1970-10-31 23:59:59.999999999,1,0.93
1970-10-31 23:59:59.999999999,1970-11-30 23:59:59.999999999,1,0.9538461538461538
1970-11-30 23:59:59.999999999,1971-01-31 23:59:59.999999999,1,0.9284615384615384
1971-01-31 23:59:59.999999999,1971-02-28 23:59:59.999999999,1,0.9261538461538461
1971-02-28 23:59:59.999999999,1971-04-30 23:59:59.999999999,1,0.9207692307692308
1971-04-30 23:59:59.999999999,1971-05-31 23:59:59.999999999,1,0.9592307692307691
1971-05-31 23:59:59.999999999,1971-07-31 23:59:59.999999999,1,0.953076923076923
1971-07-31 23:59:59.999999999,1971-08-31 23:59:59.999999999,1,0.9476923076923076
1971-08-31 23:59:59.999999999,1971-10-31 23:59:59.999999999,1,0.94
1971-10-31 23:59:59.999999999,1971-11-30 23:59:59.999999999,1,0.9792307692307692
1971-11-30 23:59:59.999999999,1972-01-31 23:59:59.999999999,1,0.98
1972-01-31 23:59:59.999999999,1972-02-29 23:59:59.999999999,1,0.9438461538461539
1972-02-29 23:59:59.999999999,1972-04-30 23:59:59.999999999,1,0.9523076923076922
1972-04-30 23:59:59.999999999,1972-05-31 23:59:59.999999999,1,0.89
1972-05-31 23:59:59.999999999,1972-07-31 23:59:59.999999999,1,0.8984615384615385
