portfolio,window_start,window_end,window_length,model_type,factor_model,AE,u_hat,convergence_status,message,log_likelihood,AIC,BIC,sigma_v,sigma_u,lambda,rank,quintile
ME4 BM5,1968-07-31 23:59:59.999999,1978-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727620504317,0.0004273292550955625,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,298.6232923870948,-585.2465847741896,-568.5216343174974,0.020087638013877116,0.0005355778316795562,0.026662061080031597,20,2
ME4 BM5,1969-07-31 23:59:59.999999,1979-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727611497851,0.0004273301557888085,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,297.1916161257853,-582.3832322515706,-565.6582817948783,0.020334303252322137,0.0005355790936301442,0.026338699043891863,20,2
ME4 BM5,1970-07-31 23:59:59.999999,1980-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727634034165,0.0004273279016404963,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,299.15812693261546,-586.3162538652309,-569.5913034085387,0.019998754046400582,0.0005355761930399353,0.02678047801364553,20,2
ME4 BM5,1971-07-31 23:59:59.999999,1981-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727686896664,0.0004273226144143986,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,304.519821862453,-597.039643724906,-580.3146932682138,0.019125264934645964,0.0005355695227479475,0.028003247253205264,20,2
ME4 BM5,1972-07-31 23:59:59.999999,1982-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727740966927,0.00042731720625812134,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,309.198615326459,-606.397230652918,-589.6722801962258,0.018393742944896426,0.0005355627846691856,0.029116574384757517,20,1
ME4 BM5,1973-07-31 23:59:59.999999,1983-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727773223522,0.00042731397986451897,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,311.5082646554033,-611.0165293108066,-594.2915788541144,0.018042954406871817,0.0005355587366899738,0.029682430305648922,21,1
ME4 BM5,1974-07-31 23:59:59.999999,1984-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727834339391,0.0004273078671971541,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,316.739569761848,-621.479139523696,-604.7541890670037,0.01727293208479944,0.0005355510943553144,0.03100522202751038,21,1
ME4 BM5,1975-07-31 23:59:59.999999,1985-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727929075554,0.0004272983916895815,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,323.53528191545865,-635.0705638309173,-618.3456133742251,0.01632179213322258,0.0005355391994655436,0.032811298850906674,21,1
ME4 BM5,1976-07-31 23:59:59.999999,1986-06-30 23:59:59.999999,120,half_normal,ff3,0.9995728055646962,0.0004272857323956058,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,332.4176584742543,-652.8353169485086,-636.1103664918164,0.01515660698134522,0.000535523391631403,0.03533266992345491,21,1
ME4 BM5,1977-07-31 23:59:59.999999,1987-06-30 23:59:59.999999,120,half_normal,ff3,0.9995728074414788,0.00042728385581238177,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,334.28387969582826,-656.5677593916565,-639.8428089349643,0.014923164098933527,0.0005355207038542463,0.035885198360347516,21,1
ME4 BM5,1978-07-31 23:59:59.999999,1988-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727989576466,0.00042729234117954015,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,329.1319430664553,-646.2638861329106,-629.5389356762183,0.01557738001967037,0.0005355317367263219,0.03437880670883538,21,1
ME4 BM5,1979-07-31 23:59:59.999999,1989-06-30 23:59:59.999999,120,half_normal,ff3,0.9995728002851448,0.0004272910137725677,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,330.4288662241175,-648.857732448235,-632.1327819915427,0.015402239414680748,0.0005355295153962261,0.03476958778382464,21,1
ME4 BM5,1980-07-31 23:59:59.999999,1990-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727950016636,0.00042729629836847264,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,327.7149691594873,-643.4299383189746,-626.7049878622823,0.015772762810615227,0.0005355364351262082,0.03395324215271828,21,1
ME4 BM5,1981-07-31 23:59:59.999999,1991-06-30 23:59:59.999999,120,half_normal,ff3,0.9995728026514975,0.00042728864729987777,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,333.2089450642661,-654.4178901285322,-637.69293967184,0.015057014730748266,0.0005355268140842471,0.03556659959896538,21,1
ME4 BM5,1982-07-31 23:59:59.999999,1992-06-30 23:59:59.999999,120,half_normal,ff3,0.9995728007083067,0.0004272905909480342,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,332.28602874435023,-652.5720574887005,-635.8471070320082,0.015173583577136114,0.0005355292673741612,0.035293526058083495,21,1
ME4 BM5,1983-07-31 23:59:59.999999,1993-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727988600344,0.0004272924394778593,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,331.0309760394698,-650.0619520789396,-633.3370016222474,0.01533237058200796,0.0005355316679505705,0.03492817141916721,21,1
ME4 BM5,1984-07-31 23:59:59.999999,1994-06-30 23:59:59.999999,120,half_normal,ff3,0.999572793700739,0.00042729759974394763,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,327.8265354921443,-643.6530709842885,-626.9281205275963,0.015749561817430847,0.0005355381418200587,0.03400336771448151,21,1
ME4 BM5,1985-07-31 23:59:59.999999,1995-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727967208643,0.00042729457910414224,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,329.87154647457714,-647.7430929491543,-631.0181424924621,0.015479616339937424,0.0005355342471301014,0.03459609304065389,21,1
ME4 BM5,1986-07-31 23:59:59.999999,1996-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727921975143,0.000427299103259102,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,326.9210332168026,-641.8420664336052,-625.1171159769129,0.015869803238780924,0.0005355399475227186,0.03374584671686562,21,1
ME4 BM5,1987-07-31 23:59:59.999999,1997-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727970516636,0.0004272942479840289,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,329.51985264362975,-647.0397052872595,-630.3147548305673,0.015517992560440723,0.0005355342763916288,0.03451053828681686,21,1
ME4 BM5,1988-07-31 23:59:59.999999,1998-06-30 23:59:59.999999,120,half_normal,ff3,0.9995728003904308,0.0004272909085122687,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,331.553784128673,-651.107568257346,-634.3826178006537,0.015266247838767842,0.0005355298190595729,0.03507933479892962,21,1
ME4 BM5,1989-07-31 23:59:59.999999,1999-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727980307468,0.0004272932684577729,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,329.5935431887368,-647.1870863774736,-630.4621359207814,0.015517819424362993,0.0005355328206483869,0.03451082951819892,21,1
ME4 BM5,1990-07-31 23:59:59.999999,2000-06-30 23:59:59.999999,120,half_normal,ff3,0.999572767182338,0.00042732412429261903,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,311.5955265016414,-611.1910530032828,-594.4661025465906,0.018029770326857705,0.0005355713873147134,0.02970483692279261,21,1
ME4 BM5,1991-07-31 23:59:59.999999,2001-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727542634307,0.0004273370455200655,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,298.9175567442766,-585.8351134885532,-569.110163031861,0.020039636810805325,0.0005355876082204917,0.02672641292239908,21,1
ME4 BM5,1992-07-31 23:59:59.999999,2002-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727438037745,0.00042734750742145643,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,287.87910757061076,-563.7582151412215,-547.0332646845293,0.02197083096685177,0.0005356006605244082,0.024377806252867236,21,1
ME4 BM5,1993-07-31 23:59:59.999999,2003-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727018862974,0.00042738943910375186,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,264.0350847980401,-516.0701695960802,-499.3452191393879,0.026801463841305224,0.0005356532171227117,0.019985968687918708,21,1
ME4 BM5,1994-07-31 23:59:59.999999,2004-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727016526879,0.0004273896726787043,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,262.8562511575574,-513.7125023151148,-496.9875518584225,0.027065830977320935,0.0005356535333107999,0.019790766215884374,21,1
ME4 BM5,1995-07-31 23:59:59.999999,2005-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727016281685,0.00042738969717747897,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,262.63919400557654,-513.2783880111531,-496.5534375544608,0.027114836905973574,0.0005356535620493763,0.01975499848687522,21,1
ME4 BM5,1996-07-31 23:59:59.999999,2006-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727018726939,0.00042738945257811444,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,262.87111625939843,-513.7422325187969,-497.0172820621046,0.027062106945119194,0.0005356532577234179,0.019793479451163946,21,1
ME4 BM5,1997-07-31 23:59:59.999999,2007-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727017975204,0.00042738952771729843,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,262.30390792054607,-512.6078158410921,-495.88286538439985,0.027190833025781406,0.0005356533446188016,0.019699776910509274,21,1
ME4 BM5,1998-07-31 23:59:59.999999,2008-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727037320447,0.00042738759279968184,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,265.81539721117053,-519.6307944223411,-502.9058439656488,0.026406637287297384,0.0005356509368669901,0.02028470838748783,21,1
ME4 BM5,1999-07-31 23:59:59.999999,2009-06-30 23:59:59.999999,120,half_normal,ff3,0.9995726973810436,0.0004273939453581353,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,256.02046505246426,-500.0409301049285,-483.31597964823624,0.028652746395476453,0.0005356588716102552,0.018694852640542065,21,1
ME4 BM5,2000-07-31 23:59:59.999999,2010-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727000977674,0.00042739122819100526,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,262.0704814090591,-512.1409628181182,-495.4160123614259,0.027245143682862197,0.0005356554476142439,0.019660584427425246,21,1
ME4 BM5,2001-07-31 23:59:59.999999,2011-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727033247115,0.00042738800080641126,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,269.55622107665187,-527.1124421533037,-510.38749169661145,0.02559588898182789,0.0005356514613913275,0.020927245846847506,21,1
ME4 BM5,2002-07-31 23:59:59.999999,2012-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727053648658,0.0004273859602263481,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,272.6498096249766,-533.2996192499533,-516.574668793261,0.024944299316283766,0.0005356489681492162,0.021473802946212317,21,1
ME4 BM5,2003-07-31 23:59:59.999999,2013-06-30 23:59:59.999999,120,half_normal,ff3,0.9995727294867816,0.000427361835579874,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,310.030468933163,-608.060937866326,-591.3359874096337,0.01826657687327562,0.0005356186122481501,0.029322330941588252,21,1
