portfolio,window_start,window_end,window_length,model_type,factor_model,AE,u_hat,convergence_status,message,log_likelihood,AIC,BIC,sigma_v,sigma_u,lambda,rank,quintile,sensitivity_window
ME2 BM5,2016-07-31 23:59:59.999999,2021-06-30 23:59:59.999999,60,half_normal,ff3,0.9998702613765783,0.00012974704034411693,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,155.47183899113136,-298.9436779822627,-286.3776106089301,0.018130422423069007,0.00016261379873805729,0.008969112519471623,6,4,60
ME3 BM1,1936-07-31 23:59:59.999999,1941-06-30 23:59:59.999999,60,half_normal,ff3,0.9943479150869852,0.0056687350845906325,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,160.38707560166964,-308.7741512033393,-296.2080838300067,0.016147359049628367,0.007104344062215618,0.439969411739756,8,3,60
ME3 BM1,1946-07-31 23:59:59.999999,1951-06-30 23:59:59.999999,60,half_normal,ff3,0.9945592625205213,0.005456850490965964,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,186.60525965710744,-361.2105193142149,-348.6444519408823,0.009984119193493969,0.0068369617035156155,0.6847836620350887,13,2,60
ME3 BM1,1956-07-31 23:59:59.999999,1961-06-30 23:59:59.999999,60,half_normal,ff3,0.9919388275683386,0.008099346179215598,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,182.23508236853158,-352.47016473706316,-339.90409736373056,0.009889915167383611,0.010148378915073721,1.02613407125498,15,2,60
ME3 BM1,1966-07-31 23:59:59.999999,1971-06-30 23:59:59.999999,60,half_normal,ff3,0.9883730692597166,0.011714189977132918,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,175.925617670529,-339.851235341058,-327.2851679677254,0.009508520619028758,0.01466114549366339,1.5418955357075246,16,1,60
ME3 BM1,1976-07-31 23:59:59.999999,1981-06-30 23:59:59.999999,60,half_normal,ff3,0.9886828244487577,0.01140357596600935,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,184.81384026502485,-357.6276805300497,-345.0616131567171,0.007336399508409996,0.01423880253657269,1.9408433960350995,17,1,60
ME3 BM1,1986-07-31 23:59:59.999999,1991-06-30 23:59:59.999999,60,half_normal,ff3,0.9995149801827186,0.0004851375536186876,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,186.1057816835405,-360.211563367081,-347.6454959937484,0.010875753080361194,0.0006080304526875796,0.05590697473497498,,,60
ME3 BM1,1996-07-31 23:59:59.999999,2001-06-30 23:59:59.999999,60,half_normal,ff3,0.9997754555968281,0.00022456961796185694,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,146.1372001178359,-280.2744002356718,-267.7083328623392,0.02118127595563301,0.00028145641723214615,0.013287982169803836,15,2,60
ME3 BM1,2006-07-31 23:59:59.999999,2011-06-30 23:59:59.999999,60,half_normal,ff3,0.9997754618583305,0.00022456335614031827,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,169.36117811413953,-326.72235622827907,-314.15628885494647,0.014382772395907056,0.0002814484372819157,0.019568441294531523,15,2,60
ME3 BM1,2016-07-31 23:59:59.999999,2021-06-30 23:59:59.999999,60,half_normal,ff3,0.9997754553825952,0.00022456983261389944,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,156.20659172927654,-300.4131834585531,-287.8471160852205,0.017909384138377064,0.00028145654362665543,0.01571559029902861,15,2,60
ME3 BM2,1936-07-31 23:59:59.999999,1941-06-30 23:59:59.999999,60,half_normal,ff3,0.9995287152845674,0.0004713958278437544,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,153.52077025823468,-295.04154051646935,-282.47547314313675,0.018726226093593437,0.0005908079305904193,0.031549759553129865,,,60
ME3 BM2,1946-07-31 23:59:59.999999,1951-06-30 23:59:59.999999,60,half_normal,ff3,0.9998260618713933,0.00017395325897543988,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,188.87595817006383,-365.75191634012765,-353.18584896679505,0.010389436590181784,0.0002180183051222311,0.02098461290271145,,,60
ME3 BM2,1956-07-31 23:59:59.999999,1961-06-30 23:59:59.999999,60,half_normal,ff3,0.987728887600765,0.012368691509270922,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,174.14895631502887,-336.29791263005774,-323.73184525672514,0.0096279398540635,0.01544451255978033,1.6041347156174774,17,1,60
